,Lat,Lon
201,59.95,30.3167
202,6.46678646,3.49159241
203,5.02733492,7.90466309
204,59.934047,30.30595
205,59.95,30.3167
206,54.82704884,55.042319
207,59.8427,30.3219
208,59.95,30.3167
209,58.86535022,42.61368749
210,59.95,30.3167
211,59.94,30.32861111
212,59.92544,30.29594
213,55.71583333,37.55361111
214,41.691828,-8.83441
215,55.71583333,37.55361111
216,59.95,30.3167
217,35.0,135.75
218,59.941158,30.326188
219,25.8081,-80.3533
220,-2.0053689,30.0892638
221,59.95,30.3167
222,26.27008,-80.25919
223,59.95,30.3167
224,55.77255,37.61898
225,59.95,30.3167
226,55.71428,37.56322
227,59.95,30.3167
228,6.46678646,3.49159241
229,5.02733492,7.90466309
230,59.95,30.3167
231,55.77255,37.61898
232,59.95,30.3167
233,55.71428,37.56322
234,59.95,30.3167
235,6.46678646,3.49159241
236,5.02733492,7.90466309
237,59.934047,30.30595
238,59.95,30.3167
239,54.82704884,55.042319
240,59.8427,30.3219
241,59.95,30.3167
242,58.86535022,42.61368749
243,59.95,30.3167
244,59.94,30.32861111
245,59.92544,30.29594
246,55.71583333,37.55361111
247,41.691828,-8.83441
248,55.71583333,37.55361111
249,59.95,30.3167
250,35.0,135.75
251,59.941158,30.326188
252,25.8081,-80.3533
253,-2.0053689,30.0892638
254,59.95,30.3167
255,26.27008,-80.25919
256,59.95,30.3167
257,55.77255,37.61898
258,59.95,30.3167
259,55.71428,37.56322
260,59.95,30.3167
261,6.46678646,3.49159241
262,5.02733492,7.90466309
263,59.934047,30.30595
264,59.95,30.3167
265,55.77255,37.61898
266,59.95,30.3167
267,55.71428,37.56322
268,59.95,30.3167
269,6.46678646,3.49159241
270,5.02733492,7.90466309
271,59.934047,30.30595
272,59.95,30.3167
273,54.82704884,55.042319
274,59.8427,30.3219
275,59.95,30.3167
276,58.86535022,42.61368749
277,59.95,30.3167
278,59.94,30.32861111
279,59.92544,30.29594
280,55.71583333,37.55361111
281,41.691828,-8.83441
282,55.71583333,37.55361111
283,59.95,30.3167
284,35.0,135.75
285,59.941158,30.326188
286,25.8081,-80.3533
287,59.95,30.3167
288,55.77255,37.61898
289,59.95,30.3167
290,55.71428,37.56322
291,59.95,30.3167
292,6.46678646,3.49159241
293,5.02733492,7.90466309
294,59.934047,30.30595
295,59.95,30.3167
296,54.82704884,55.042319
297,59.8427,30.3219
298,59.95,30.3167
299,58.86535022,42.61368749
300,59.95,30.3167
301,59.94,30.32861111
302,59.92544,30.29594
303,55.71583333,37.55361111
304,41.691828,-8.83441
305,55.71583333,37.55361111
306,59.95,30.3167
307,35.0,135.75
308,59.941158,30.326188
309,25.8081,-80.3533
310,59.95,30.3167
311,55.77255,37.61898
312,59.95,30.3167
313,55.71428,37.56322
314,59.95,30.3167
315,6.46678646,3.49159241
316,5.02733492,7.90466309
317,59.934047,30.30595
318,59.95,30.3167
319,54.82704884,55.042319
320,59.8427,30.3219
321,59.95,30.3167
322,58.86535022,42.61368749
323,59.95,30.3167
324,55.77255,37.61898
325,59.95,30.3167
326,55.71428,37.56322
327,59.95,30.3167
328,6.46678646,3.49159241
329,5.02733492,7.90466309
330,59.934047,30.30595
331,59.95,30.3167
332,54.82704884,55.042319
333,59.8427,30.3219
334,59.95,30.3167
335,58.86535022,42.61368749
336,59.95,30.3167
337,59.94,30.32861111
338,59.92544,30.29594
339,55.71583333,37.55361111
340,41.691828,-8.83441
341,55.71583333,37.55361111
342,59.95,30.3167
343,35.0,135.75
344,59.95,30.3167
345,55.77255,37.61898
346,59.95,30.3167
347,55.71428,37.56322
348,59.95,30.3167
349,6.46678646,3.49159241
